Subject,Relation,Object
గుంటూరు జాతీయ,ఆలయం,రహదారికి మైదానంలో
ప్రపంచంలో మంగళ,కనిపించదు,మనకు
శ్రీ భూసమేత,పేర్కొంటున్నారు,తలమానికంగా
ఏడుకొండలపై కొలువై,చేసింది,అమరావతి
శ్రీ గ‌ణ‌ప‌తి,జ‌రిగింది,ఆశిస్సుల‌తో ఆల‌య
లింగ‌మ‌నేని పూర్ణ‌భాస్క‌ర్‌,చేప‌ట్టారు,ఆశ‌యంతో
కలియుగ దేవదేవుని,వచ్చింది,నిత్యం సంవత్సరంలో 2006లో కార్యకరూపానికి
2006లో గణపతి,చుట్టారు,అనుమతితో
2012లో శ్రీ,జరిగింది,చేతుల
మొత్తం ఆలయ,జరిగింది,పర్యవేక్షణలో
సుబ్రమణ్య ఆచార్యులు,విశేషం,రాతితోనే
తూర్పుగోదావరి జిల్లా,అడుగుల,గ్రామానికి
అంగుళాల ఎత్తైన,నిర్మించారు,ధ్వజస్తంభాన్ని
దేవాలయానికి భాగంలో,చేశారు,నిమిత్తం వేదికతో
శ్రీవారి పాదాలతోనూ,దర్శనమిస్తుంది,కూర్మావతారంలోనూ
హన్మకొండలో రెవెన్యూ,నివాసముంటోంది,కాలనీకి ఇంటిలో
2015 తెల్లవారుఝామున,మంటలు,నడకకు
రోజు రాత్రి,వ్యాపించింది,సారికకు కుటుంబీకులకు ఇంటిలో
మృతిపై అనుమానాలున్నాయని,నినదించాయి,లలిత
సారికది అనుమానాస్పాద,తీసుకొన్నారు,మృతిగా అదుపులోకి
హుజూరాబాద్ లోని,చేరారు,టెక్నాలజీలో
ఇంజినీరింగ్ పరిచయమైన,వివాహమాడినది,యాదగిరిగుట్టలో
మామల సారిక,చేసినది,స్టేషనులో
అనిల్ వివాహేతర,చేసినది,సంబంధాన్ని
తమది ప్రేమ,నిర్వహించింది,అనిల్
రాజయ్య ఇంట్లోనే,ప్రస్తావించారు,విలేకరుల సమావేశం విషయం
పెద్దల అంగీకారంతోనే,వివరించారు,మొదట్లో వేధింపులకు
పిల్లల కనీస,తెలిపారు,అవసరాలకు
వీరిపై కేసులు,వాపోయారు,పలుకుబడులతో
వరకట్న వేధింపు,చేసుకొన్నారు,కోర్టులో దరఖాస్తు
నిందితులుగా రాజయ్య,లభించింది,దంపతులకు బెయిల్
ప్రధాన నిందితుడిగా,నిరాకరించింది,అనిల్ కు బెయిల్
బెయిల్ రద్దు,చేసినది,వారికి కేసులో న్యాయం డిమాండ్
వరంగల్ అదనపు,చేసింది,కోర్టులో అనిల్
000 భరణం,చేసినది,"15, కోర్టు"
దీనిపై ఆదాయ,కొట్టివేసింది,జిల్లా కోర్టులో
తండ్రి రాజయ్య,రూ,అసోసియేట్ ప్రొఫెసర్‌గా
కోర్టు తీర్పుకు,ఆశ్రయించింది,అనిల్ కోర్టును
జీవనభృతి అనిల్,హాజరైనది,కోర్టుకు
అనిల్ వాదులాట,జరిగింది,ల
తెల్లవారుఝామున అగ్నిప్రమాదంలో,ఆహుతైనది,కుమారులతో అగ్నికి
సారిక ఎల్,తెలిపారు,పీ పడకగదిలోకి లోపలి
ప్రాథమిక ఆధారాల,తెలిపారు,కోణాలలో
justice can,suicide,She
